system:index,.geo,Latitude,Longitude,Predicted_LST
50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59243182346573,12.802340271629362]}",12.80234,77.592432,33.84194
51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62656780426228,12.802340271629362]}",12.80234,77.626568,33.431942
52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63555095710348,12.802340271629362]}",12.80234,77.635551,35.23614
53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64004253352407,12.802340271629362]}",12.80234,77.640043,35.979935
54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64363579466054,12.802340271629362]}",12.80234,77.643636,35.770985
55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67777177545709,12.802340271629362]}",12.80234,77.677772,31.059717
56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69034818943476,12.802340271629362]}",12.80234,77.690348,33.3343
57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69573808113948,12.802340271629362]}",12.80234,77.695738,33.002354
58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70741617983303,12.802340271629362]}",12.80234,77.707416,34.619305
59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7244841702313,12.802340271629362]}",12.80234,77.724484,35.152428
60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73167069250425,12.802340271629362]}",12.80234,77.731671,34.26276
61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7334673230725,12.802340271629362]}",12.80234,77.733467,35.701294
62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73616226892486,12.802340271629362]}",12.80234,77.736162,35.790646
63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74784036761841,12.802340271629362]}",12.80234,77.74784,33.564857
64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74873868290253,12.802340271629362]}",12.80234,77.748739,33.566143
65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77568814142612,12.802340271629362]}",12.80234,77.775688,31.700075
66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78107803313083,12.802340271629362]}",12.80234,77.781078,35.44122
67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.42714181118774,12.80323858691348]}",12.803239,77.427142,35.501507
68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4343283334607,12.80323858691348]}",12.803239,77.434328,34.82144
69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.44780306272249,12.80323858691348]}",12.803239,77.447803,35.313446
70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4576845308478,12.80323858691348]}",12.803239,77.457685,36.896423
71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.489125565792,12.80323858691348]}",12.803239,77.489126,38.64903
72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52595649244088,12.80323858691348]}",12.803239,77.525956,33.83867
73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52775312300912,12.80323858691348]}",12.803239,77.527753,35.028915
74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57446551778334,12.80323858691348]}",12.803239,77.574466,32.05357
75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57985540948806,12.80323858691348]}",12.803239,77.579855,32.1956
76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60321160687516,12.80323858691348]}",12.803239,77.603212,34.119423
77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61039812914812,12.80323858691348]}",12.803239,77.610398,34.369453
78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63375432653523,12.80323858691348]}",12.803239,77.633754,35.488037
79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63555095710348,12.80323858691348]}",12.803239,77.635551,34.739876
80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64363579466054,12.80323858691348]}",12.803239,77.643636,36.151146
81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64633074051291,12.80323858691348]}",12.803239,77.646331,35.9984
82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66250041562705,12.80323858691348]}",12.803239,77.6625,35.41314
83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66789030733177,12.80323858691348]}",12.803239,77.66789,32.542294
84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68855155886652,12.80323858691348]}",12.803239,77.688552,34.917545
85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71370438682187,12.80323858691348]}",12.803239,77.713704,34.353207
86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72089090909482,12.80323858691348]}",12.803239,77.720891,37.087605
87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73526395364074,12.80323858691348]}",12.803239,77.735264,35.76016
88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76490835801668,12.80323858691348]}",12.803239,77.764908,34.37704
89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41905697363066,12.8041369021976]}",12.804137,77.419057,36.96452
90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45498958499545,12.8041369021976]}",12.804137,77.45499,33.879074
91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46756599897311,12.8041369021976]}",12.804137,77.467566,38.07907
92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4711592601096,12.8041369021976]}",12.804137,77.471159,34.750618
93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48643061993963,12.8041369021976]}",12.804137,77.486431,37.133278
94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48822725050786,12.8041369021976]}",12.804137,77.488227,37.389805
95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50260029505378,12.8041369021976]}",12.804137,77.5026,36.522457
96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51697333959969,12.8041369021976]}",12.804137,77.516973,32.00164
97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52326154658853,12.8041369021976]}",12.804137,77.523262,35.480267
98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55919415795331,12.8041369021976]}",12.804137,77.559194,35.149067
99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56997394136275,12.8041369021976]}",12.804137,77.569974,33.12738
100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5906351928975,12.8041369021976]}",12.804137,77.590635,33.425686
